RobustOnly,Land,Kod,Parti,Partikod,År,Rile,Status,EU,Dubious,Regering,Support,G,Seats,Rseats,MM,Cseats,Cperseats,NameC,PositionC,PMseats,WW,NamePM,PositionPM,C,LargForm,SS,cult,econ,cultPM,econPM,RR,PP,EE,NN,SET,M,S,W,RRsc,RRse,R,PPsc,PPse,P,E,N,T
1,Tyskland,W,AfD,AfD2017,2017,Right,Party,1952,0,0,0,0,709,94,13.26,246,34.7,CDU,R,246,34.7,CDU,R,1,F,0,3.463461698,0.139510083,1.393681867,-0.07376998,3.463461698,-2.069779832,0,5.58,0,1,0.501246883,0.03,0.085568028,1,0.085568028,0.077017166,0.560500046,0.077017166,0,0.384,0
1,Frankrike,W,FN,FN1997a,1997,Right,Party,1952,0,0,0,0,577,1,0.17,140,24.26,RPR,R,255,44.19,PS,L,0,F,0,4.204692619,0.310212508,0.452074207,0.310005846,4.204692619,-3.752618412,0,3.54,0,0,0.501246883,0,0,1,0,0,0.015689268,0,0,0.792,0
1,Frankrike,W,FN,FN1997b,1997,Right,Party,1952,0,0,0,0,577,1,0.17,140,24.26,RPR,R,140,24.26,RPR,R,1,F,0,4.204692619,0.310212508,0.587659555,2.39781527,4.204692619,-3.617033064,0,3.54,0,0,0.501246883,1,0,1,0,0,0.060585078,0,0,0.792,0
1,Frankrike,W,FN,FN2012,2012,Right,Party,1952,0,0,0,0,577,2,0.35,199,34.49,UMP,R,292,50.61,PS,L,0,F,0,3.147935708,-0.329665766,0.546806684,-0.643641371,3.147935708,-2.601129024,0,2.83,0,0,0.501246883,0,0.230304721,0.879454411,0.230304721,0,0.396977144,0,0,0.934,0
1,Frankrike,W,FN,FN2017,2017,Right,Party,1952,0,0,0,0,577,8,1.39,113,19.58,UMP,R,113,19.58,UMP,R,1,F,1.04,3.917982402,-1.371660864,2.113168619,1.366767778,3.917982402,-1.804813783,5,3,0,0,0.630922693,1,0,0.426517789,0,0.19025052,0.633292917,0.19025052,0.125,0.9,0
1,Ungern,E,Jobbik,Jobbik2010,2010,Right,Party,2004,0,0,0,0,386,47,12.18,227,58.81,Fidesz,R,227,58.81,Fidesz,R,1,F,0,2.868031759,-0.793388381,2.618797104,-1.051462492,2.868031759,-0.249234656,0,2,0,1,0.501246883,0,0.358701028,0.679573974,0.358701028,0.884613585,1,0.884613585,0,1,0
1,Ungern,E,Jobbik,Jobbik2014,2014,Right,Party,2004,0,0,0,0,199,23,11.56,133,66.83,Fidesz,R,133,66.83,Fidesz,R,1,F,-0.62,3.240165275,-0.793567926,4.07750185,-0.03700183,3.240165275,0,4,2.01,0,1,0.191919192,0,0.18799758,0.679496584,0.18799758,1,1,1,0,1,0
1,Grekland,W,KKE,KKE1993,1993,Left,Party,1981,0,0,0,0,300,9,3,170,56.67,PASOK,L,170,56.67,PASOK,L,1,F,0,0.761752283,-3.806656268,2.443691822,-0.605005936,-3.806656268,-3.201650332,19,2.37,0,0.1,0.501246883,0,1,0,0,0,0.198129029,0.198129029,1,1,0
1,Grekland,W,KKE,KKE1996,1996,Left,Party,1981,0,0,0,0,300,11,3.67,162,54,PASOK,L,162,54,PASOK,L,1,F,0.67,1.299476801,-3.89192315,2.167053467,0.047355335,-3.89192315,-3.939278485,22,2.36,0,0.234,0.58478803,0,1,0,0,0,0,0,1,1,0
1,Grekland,W,KKE,KKE2000,2000,Left,Party,1981,0,0,0,0,300,11,3.67,158,52.67,PASOK,L,158,52.67,PASOK,L,1,F,0,1.435455959,-4.077510325,0.852403864,-0.131831105,-4.077510325,-3.94567922,26,2.21,0,0.234,0.501246883,0,1,0,0,0,0,0,1,1,0
1,Grekland,W,KKE,KKE2004,2004,Left,Party,1981,0,0,0,0,300,12,4,116,38.67,PASOK,L,166,55.33,ND,R,0,F,0.33,1.60937391,-1.098558954,2.688108337,1.105436463,-1.098558954,-2.203995417,30,2.19,0,0.3,0.542394015,0,1,0.548034934,0.548034934,0.019660078,0.523627633,0.523627633,1,1,0
1,Grekland,W,KKE,KKE2007,2007,Left,Party,1981,0,0,0,0,300,22,7.33,102,34,PASOK,L,152,50.67,ND,R,0,F,3.33,2.564918588,0,3.434049138,1.745767737,0,-1.745767737,33,2.62,0,0.733,0.916458853,0,0.497743767,1,1,0.215483873,0.649514358,0.649514358,1,0.976,0
1,Grekland,W,KKE,KKE2009,2009,Left,Party,1981,0,0,0,0,300,21,7,160,53.33,PASOK,L,160,53.33,PASOK,L,1,F,-0.33,0,0,-0.25463339,-1.18827338,0,0,35,2.59,0,0.7,0.338383838,0,1,1,1,1,1,1,1,0.982,0
1,Grekland,W,KKE,KKE2012IIa,2012,Left,Party,1981,0,0,0,0,300,12,4,33,11,PASOK,L,129,43,ND,R,0,F,-3,1.098072143,-2.944357923,1.609357909,2.662522714,-2.944357923,-5.606880637,38,3.76,0,0.3,0,0,1,0,0,0,0,0,1,0.748,0
1,Grekland,W,KKE,KKE2012IIb,2012,Left,Party,1981,0,0,0,0,300,12,4,33,11,PASOK,L,129,43,ND,R,0,F,-3,1.098072143,-2.944357923,1.609357909,2.662522714,-2.944357923,-5.606880637,38,3.76,0,0.3,0,0,1,0,0,0,0,0,1,0.748,0
1,Grekland,W,KKE,KKE2015,2015,Left,Party,1981,0,0,0,0,300,15,5,15,5,PASOK,L,145,48.33,SYRIZA,L,1,F,1,2.197277909,0,-1.098358923,0.663294146,0,-0.663294146,41,3.09,0,0.5,0.625935162,0,0.695011877,1,1,0.692919377,0.946897213,0.946897213,1,0.882,0
1,Tjeckien,E,KSCM,KSCM1990,1990,Left,Party,2004,0,0,0,0,200,32,16,127,63.5,OF,L,127,63.5,OF,R,0,F,0,-1.945887292,-2.037127203,0.251430952,0.938001565,-2.037127203,-2.975128768,0,2.22,0,0.9,0.501246883,0,1,0.12403309,0.12403309,0,0.27313617,0.27313617,0,1,0
1,Tjeckien,E,KSCM,KSCM1992,1992,Left,Party,2004,0,0,0,0,200,35,17.5,16,8,CSSD,L,66,33,ODS,R,0,F,1.5,1.016984273,-0.200391788,0.746989839,4.007339003,-0.200391788,-4.207730792,2,4.8,0,0.75,0.688279302,0.2,1,0.935175953,0.935175953,0,0,0,0,0.54,0
1,Tjeckien,E,KSCM,KSCM1996,1996,Left,Party,2004,0,0,0,0,200,22,11,61,30.5,CSSD,L,68,34,ODS,R,0,F,-6.5,1.26580931,-0.322829224,2.269350123,0.950042785,-0.322829224,-1.272872009,6,4.15,0,1,0,0.1,1,0.882401197,0.882401197,0.417576065,0.779430767,0.779430767,0.25,0.67,0
1,Tjeckien,E,KSCM,KSCM1998,1998,Left,Party,2004,0,0,0,0,200,24,12,74,37,CSSD,L,74,37,CSSD,L,1,F,1,1.316043913,-0.390515531,1.80504104,-0.176414004,-0.390515531,-0.214101527,8,3.71,0,1,0.625935162,0,1,0.853226064,0.853226064,0.900878923,1,1,0.5,0.758,0
1,Tjeckien,E,KSCM,KSCM2002,2002,Left,Party,2004,0,0,0,0,200,41,20.5,70,35,CSSD,L,70,35,CSSD,L,1,F,8.5,2.263306584,-0.326536111,1.686323398,-0.39210138,-0.326536111,0,12,3.67,0,0.4,1,0,0.659512589,0.8808034,0.8808034,1,1,1,1,0.766,0
1,Tjeckien,E,KSCM,KSCM2006,2006,Left,Party,2004,0,0,0,0,200,26,13,74,37,CSSD,L,81,40.5,ODS,R,0,F,-7.5,1.682938503,-1.499861104,4.040454765,1.985833033,-1.499861104,-3.485694137,16,3.1,0,1,0,0,0.971538439,0.368244953,0.368244953,0,0.104074789,0.104074789,1,0.88,0
1,Tjeckien,E,KSCM,KSCM2010,2010,Left,Party,2004,0,0,0,0,200,26,13,56,28,CSSD,L,53,26.5,ODS,R,0,F,0,4.110865667,-1.645264452,2.253618649,2.268637569,-1.645264452,-3.913902021,20,4.51,0,1,0.501246883,0.85,0,0.302152522,0.302152522,0,0,0,1,0.598,0
1,Tjeckien,E,KSCM,KSCM2013,2013,Left,Party,2004,0,0,0,0,200,33,16.5,50,25,CSSD,L,50,25,CSSD,L,1,F,3.5,1.609333922,-2.291308231,1.315479024,-1.299199878,-2.291308231,-0.992108353,23,6.12,0,0.85,0.93765586,1,1,0.008496259,0.008496259,0.540690577,0.856563639,0.856563639,1,0.276,0
1,Tyskland,W,Linke,Linke2009,2009,Left,Party,1952,0,0,0,0,622,76,12.22,146,23.47,SPD,L,239,38.42,CDU,R,0,F,3.43,-1.436614733,-2.968366356,0.892106025,0,-2.968366356,-2.968366356,19,4.83,0,1,0.928927681,0,1,0,0,0,0.275375379,0.275375379,1,0.534,0
1,Tyskland,W,Linke,Linke2013,2013,Left,Party,1952,0,0,0,0,631,64,10.14,193,30.59,SPD,L,311,49.29,CDU,R,0,F,-2.08,-1.7957359,-1.716468853,1.674359963,0.580601211,-1.716468853,-2.297070064,23,3.51,0,1,0,0,1,0.269786885,0.269786885,0,0.497658919,0.497658919,1,0.798,0
1,Tyskland,W,Linke,Linke2017,2017,Left,Party,1952,0,0,0,0,709,69,9.73,153,21.58,SPD,L,246,34.7,CDU,R,0,F,-0.41,-2.024417918,-4.294407096,1.393681867,-0.07376998,-4.294407096,-4.220637116,27,5.58,0,0.973,0.297979798,0.03,1,0,0,0,0,0,1,0.384,0
1,Tyskland,W,PDS.Linke,PDS.Linke2005,2005,Left,Party,1952,0,0,0,0,614,54,8.79,222,36.16,SPD,L,226,36.81,CDU,R,0,F,8.46,-0.816855924,-1.829775325,2.272328823,1.329734241,-1.829775325,-3.159509566,15,4.05,0,0.879,1,0,1,0.218283943,0.218283943,0,0.212082925,0.212082925,1,0.69,0
1,Tyskland,W,PDS,PDS1990,1990,Left,Party,1952,0,0,0,0,662,17,2.57,239,36.1,SPD,L,319,48.19,CDU,R,0,F,0,-1.653135566,-1.823198893,3.610909264,-0.618815917,-1.823198893,-1.204382976,0,3.17,0,0.014,0.501246883,0,1,0.22127323,0.22127323,0.446844882,0.798246435,0.798246435,0,0.866,0
1,Tyskland,W,PDS,PDS1994,1994,Left,Party,1952,0,0,0,0,672,30,4.46,252,37.5,SPD,L,294,43.75,CDU,R,0,F,1.89,-1.062892139,0.451982007,3.265328956,0.614422616,0.451982007,-0.162440609,4,3.45,0,0.392,0.736907731,0,1,1,1,0.924796014,1,1,0,0.81,0
1,Tyskland,W,PDS,PDS1998,1998,Left,Party,1952,0,0,0,0,669,36,5.38,298,44.54,SPD,L,298,44.54,SPD,L,1,F,0.92,-0.727498535,-1.522211278,2.634837361,1.978892685,-1.522211278,-3.501103964,8,3.31,0,0.538,0.6159601,0,1,0.358085783,0.358085783,0,0.098972197,0.098972197,0.5,0.838,0
